displayName,url,date,rating,city,state
"ABC Trucking LLC",https://www.trustpilot.com/review/example.com/123,2024-01-15,5,Houston,TX
"John Smith",https://www.trustpilot.com/review/example.com/124,2024-01-16,4,New York,NY
"Customer Service",https://www.trustpilot.com/review/example.com/125,2024-01-17,3,,
"Green Valley Cafe",https://www.trustpilot.com/review/example.com/126,2024-01-18,5,Portland,OR
"TD",https://www.trustpilot.com/review/example.com/127,2024-01-19,2,,
"Mary Johnson",https://www.trustpilot.com/review/example.com/128,2024-01-20,5,Chicago,IL
"ABC Trucking LLC",https://www.trustpilot.com/review/example.com/129,2024-01-21,5,Dallas,TX
"Atlas Construction Inc",https://www.trustpilot.com/review/example.com/130,2024-01-22,4,Phoenix,AZ
"Anonymous",https://www.trustpilot.com/review/example.com/131,2024-01-23,1,,
"Uncle Leo",https://www.trustpilot.com/review/example.com/132,2024-01-24,5,Miami,FL
